case_id;case_name;case_short_name;status;label;description;notes;foedt_i_danmark;boet_det_meste_af_deres_liv_i_danmark;arbejder_i_danmark;dansk_partner_boern;dansk_juridisk_status;dansk_slaegt;skandinavisk_dna;dansk_navn;kan_tale_dansk;taler_korrekt_dansk;danske_skikke;liberale_vaerdier;selvopfattelse;kan_taale_maelk
african_adopted;Sort afrikaner adopteret som spæd;Afrikansk adoptiv;unclear;uklar;Adopteret som spæd til dansk familie og givet dansk navn.;Stærk social danskhed, svag på dansk slægt og skandinavisk DNA.;0;1;1;1;1;0;0;1;1;1;1;1;1;0
danish_child_usa;Dansk barn adopteret til USA;DK barn USA;danish;klar_positiv;Dansk slægt, men opvokset med amerikansk navn og hverdag.;Tester slægt mod opvækst.;1;0;0;0;0;1;1;0;0;0;0;1;0;1
moroccan_born_dk;Født i Danmark af marokkanske forældre;Marokko født DK;unclear;uklar;Født og opvokset i Danmark uden dansk slægt.;Givet mellemøstligt navn og religion.;1;1;1;0;1;0;0;0;1;0;0;0;1;1
somali_somalia;Somalier i Somalia;Somalia;not_danish;klar_negativ;Klar negativ anker-case.;Bor ikke i Danmark, taler ikke dansk og har ingen dansk slægt.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
somali_dk_passport;Somalier i Danmark med dansk pas;Somali DK pas;unclear;uklar;Uklar case.;Juridisk dansk, men uden dansk slægt.;0;1;1;0;1;0;0;0;1;0;0;0;1;0
italian_tourist_birth;Italiensk turist føder i Danmark;Turistfødsel;not_danish;klar_negativ;Barnet fødes i Danmark, men familien tager tilbage til Spanien.;Tester om fødested alene er nok.;1;0;0;0;0;0;0;0;0;0;0;1;0;1
danish_minority_schleswig;Person fra det danske mindretal i Slesvig;Slesvig;unclear;uklar;Dansk mindretal uden aktuel bopæl i Danmark.;Stærk på slægt, kultur og selvforståelse, svag på juridisk status.;0;0;0;1;1;1;1;1;1;1;1;1;1;1
passport_fraud;Person der har snydt sig til dansk pas;Pas-svig;not_danish;klar_negativ;Har passet som artefakt, men ikke legitim juridisk status.;Tester forskellen på pas og legitim status.;0;1;1;0;1;0;0;0;1;0;0;0;1;1
moroccan_no_passport;Marokkaner født i Danmark uden dansk pas;Marokko uden pas;unclear;uklar;Født og opvokset i Danmark uden dansk pas og uden dansk slægt.;Tester jura mod livsbiografi.;1;1;1;0;0;0;0;0;1;0;0;0;1;1
syrian_child;Syrer der kom hertil som barn;Syrer barn;unclear;uklar;Stærk opvækst og liv i Danmark, men ikke dansk slægt.;Tester socialisering uden oprindelse.;0;1;0;0;0;0;0;0;1;0;0;0;1;1
third_gen_turk;3. generations tyrker med dårlig dansk grammatik;3G tyrker;unclear;uklar;Født og opvokset i Danmark, men svag på grammatisk dansk og uden dansk slægt.;Tester sprogkravets skarphed.;1;1;1;0;1;0;0;0;1;1;0;0;1;1
deported_person;Udvisningsdømt person i Danmark;Udvisningsdømt;not_danish;klar_negativ;Opholder sig i Danmark, men er juridisk og nationalt afvist.;Tester bopæl mod juridisk status.;0;1;0;0;0;0;0;0;1;0;0;0;1;1
malmo_worker;Bor i København og arbejder i Malmø;Kbh/Malmø;danish;klar_positiv;Arbejde er svensk, men bopæl og øvrig tilknytning er dansk.;Tester om arbejde i udlandet ophæver danskhed.;1;1;0;1;1;1;1;1;1;1;1;1;1;1
holiday_birth_spain;Dansker født på ferie i Spanien;Ferie i Spanien;danish;klar_positiv;Født uden for Danmark ved tilfældighed, men med dansk slægt og dansk familie.;Tester fødested mod slægt og familie.;0;1;1;1;1;1;1;1;1;1;1;1;1;1
saed_doner;Udenlandsk Sæddoner;Sæddoner;not_danish;klar_negativ;Sæddoner der donerer til dansk enlig mor.;Tester om en det at have dansk familie er et godt krav;0;0;0;1;0;0;0;0;0;0;0;0;0;1
laktoseintolerant_dansker;Laktoseintolerant dansker;Laktoseintolerant;danish;klar_positiv;Dansker med dansk slægt og dansk familie, men med laktoseintolerance.;Tester om biologiske småtræk som laktoseintolerance ændrer danskhed.;1;1;1;1;1;1;1;1;1;1;1;1;1;0
half_dane;Halvdansker;Halvdansker;danish;klar_positiv;Person hvor den ene er forældrene er danske mens den anden er udlandsk;Tester halvdanskere;1;1;1;1;1;1;0;1;1;1;1;1;1;1
stum_person;Stum;Stump;danish;klar_positiv;En person som er Stum;Tester hvorvidt dansk tale er et krav;1;1;1;1;1;1;1;1;0;0;1;1;1;1
Harald blåtand;H.Blåtand;H.Blåtand;danish;klar_positiv;Harald Blåtand;;1;1;1;1;0;1;1;1;0;0;0;0;1;1
Opkaldt;Opkaldt;Opkaldt efter amerikansk stjerne;danish;klar_positiv;Opkaldt efter amerikansk stjerne;;1;1;1;1;1;1;1;0;1;1;1;1;1;1
